a, center_x, center_y, center_z, L_x, L_y, L_z, bulk_velocity_x, bulk_velocity_y, bulk_velocity_z, Rvir, Mvir, Lmag, sfr, Mstar, Mgas, compaction_stage
0.39, 0.41974, 0.022493, 14.4012, -0.433759, -0.859411, -0.270676, -3.43362, -16.0217, -0.433759, 80.75, 263928000000.0, 465.675, 1.85889, 10441800000.0, 14261800000.0, 14261800000.0
0.4, 0.363422, -0.400648, -6.07572, -0.446593, -0.887092, -0.116712, -4.8789, -6.42716, -0.446593, 84.5, 282045000000.0, 481.706, 2.37337, 10715300000.0, 14976100000.0, 14976100000.0
0.41, -0.0915176, -0.0817942, 14.4528, -0.338213, -0.932987, -0.123074, -15.3072, 31.4919, -0.338213, 88.5, 302417000000.0, 537.172, 1.48381, 10965100000.0, 15435200000.0, 15435200000.0
0.42, 0.235781, 0.241787, 2.88593, -0.0651056, -0.997854, -0.00691454, 16.7257, 53.2115, -0.0651056, 91.75, 314759000000.0, 1001.49, 2.47488, 11256200000.0, 15494000000.0, 15494000000.0
0.43, 0.246815, -0.6399, 37.6679, -0.197105, -0.931463, -0.30582, -21.4087, 11.4516, -0.197105, 95.25, 328667000000.0, 561.665, 2.55298, 11448000000.0, 15558700000.0, 15558700000.0
0.44, 0.116245, -0.045913, 27.6042, -0.166349, -0.928315, -0.332505, 10.7643, -25.7468, -0.166349, 104.5, 410490000000.0, 493.075, 2.72584, 11836200000.0, 19050100000.0, 19050100000.0
0.45, 0.148243, 0.024404, -27.5134, -0.206131, -0.950295, -0.233345, 3.15085, -18.2041, -0.206131, 109.5, 444259000000.0, 346.928, 6.65526, 15862400000.0, 19496000000.0, 19496000000.0
0.46, -0.0676591, -0.367697, -11.2459, -0.053605, -0.991012, -0.122564, -26.2095, 20.6145, -0.053605, 113.0, 459958000000.0, 437.591, 4.62523, 16084500000.0, 18712400000.0, 18712400000.0
0.47, 0.169674, -0.451871, 51.5519, -0.231211, -0.972901, 0.00215349, -7.26113, -3.2704, -0.231211, 116.0, 469366000000.0, 438.258, 4.07165, 16881300000.0, 17415200000.0, 17415200000.0
0.48, 0.0665599, -0.0185521, -3.89841, -0.0211734, -0.965984, 0.257735, -0.408307, -10.8367, -0.0211734, 118.5, 471877000000.0, 379.562, 6.05982, 17674300000.0, 15526600000.0, 15526600000.0
0.49, -0.174568, -0.0211061, 51.7937, -0.0901574, -0.946472, 0.309938, -89.8529, 302.336, -0.0901574, 120.75, 472575000000.0, 238.788, 5.14149, 26120700000.0, 13392800000.0, 13392800000.0
0.5, 0.109552, 0.0208309, -18.5249, 0.233311, -0.736678, 0.634722, 2.65624, -11.0765, 0.233311, 123.0, 472637000000.0, 344.997, 2.76791, 25767800000.0, 11522300000.0, 11522300000.0
