Metadata recorded on file /project/projectdirs/agora/paper_CGM/ThinTimeSteps/ART-I/Cosmo_v14_final with quasarscan version 3.0.3 on date 2021-11-15 15:36:08.148491
a, center_x, center_y, center_z, Rvir, Mvir, bulk_velocity_x, bulk_velocity_y, bulk_velocity_z, Mgas, Mdm, Lmag, L_x, L_y, L_z, Mstar, sfr
0.11102867871522902, 0.49769209, 0.51125223, 0.50009115, 5.77, 9273238955.322184, -69.77765768865257, 117.59801177483982, 75.70626318872772, 896651946.7725904, 8316811643.783193, 3.5710683694332734e+67, -0.5420508129089936, 0.7998313133508972, -0.25778050044190337, 59775364.76639927, 0.23555977688525193
0.11360833793878555, 0.4980923235416411, 0.5117036104202269, 0.5005797445774078, 5.997322901746887, 4187831301.0408053, -14.821648618740335, 110.76218547938053, 38.01413251900118, 242142841.94459328, 3927211186.5714235, 2.9041766189780797e+66, 0.2640629410424496, -0.8011376447387467, 0.5370747036962972, 0.0, 0.0
0.11644272506237029, 0.497766762971878, 0.5119322240352631, 0.5007740557193756, 6.913539714499279, 8676508048.418615, -38.307934529019725, 128.46305307581002, 54.26885783698155, 583206615.3574246, 8034928781.474432, 4.1142835703403185e+65, 0.514991083527106, -0.806210529635839, 0.29121944610873307, 0.0, 0.0
0.11929515004158019, 0.497399628162384, 0.5122195780277252, 0.500914990901947, 7.364447613006874, 11695394801.714466, -48.18381007448545, 110.86126357330822, 38.77200855824471, 867046186.415771, 10758857779.588972, 2.5277994169991196e+66, -0.8152413874196607, 0.446813935200552, 0.3684274522191086, 101242.06189785298, 0.000958778429249655
0.12244017422199249, 0.49699640274047857, 0.512525886297226, 0.5010550916194916, 7.6656769603311, 13803479553.90528, -45.78683987669371, 104.08183634370967, 34.58462085478494, 1343967408.9848275, 12388765878.533142, 5.207881322260498e+67, 0.0630430683188775, 0.6734743372133701, -0.7365174055322475, 9123.286233800829, 0.00010363543284374496
0.12520815432071686, 0.49671912193298345, 0.5127880871295929, 0.5011322498321533, 6.554299353087401, 10203373960.255262, -47.309287937346944, 103.75053902173923, 36.16750332893204, 1232590621.3696723, 8916622329.814825, 4.2923623530000794e+66, -0.7850575376512131, 0.1982004463073469, 0.5868570913438658, 0.0, 0.0
0.12862683832645416, 0.49637964367866516, 0.5131110548973083, 0.5011946558952332, 7.803179298336571, 14893352049.574753, -47.38389563585543, 106.77336025178923, 41.20164834289703, 1754132126.038358, 13049120835.690033, 6.659598260229775e+67, -0.10182688693449447, 0.7524998343151045, -0.65067294738061, 0.0, 0.0
0.13195383548736572, 0.4961016774177551, 0.5134155452251434, 0.5012053549289703, 8.031532166437014, 15385750577.745419, -59.00150414474125, 114.49415138176164, 47.1471832666651, 1718688806.0437121, 13556284706.836967, 8.970952862844543e+66, 0.13742531802982308, 0.6283065024672543, -0.7657318204970772, 55436.0599976278, 0.00017035026701433135
0.13533563911914825, 0.495877206325531, 0.513709545135498, 0.5011979937553406, 8.317346282851561, 16274321900.35986, -67.55160794200206, 117.22243463689608, 50.93652995801217, 1752817368.0639355, 14385318819.36144, 7.185891062544794e+67, -0.3092987903528998, 0.8090580547422251, -0.4997592643893253, 21113.05012975287, 0.0006382726053516614
0.1384906768798828, 0.49576002359390264, 0.5140185952186584, 0.5012112855911255, 8.671204069022666, 17449393059.568527, -64.87289382439168, 118.33074665990333, 51.25701098482908, 1762835151.1918702, 15539320787.134974, 2.588211094416321e+68, 0.22788898783917935, 0.5650621017156999, -0.7929510895548795, 987353.3154366694, 0.022515996737750784
