a, center_x, center_y, center_z, L_x, L_y, L_z, bulk_velocity_x, bulk_velocity_y, bulk_velocity_z, Rvir, Mvir, Lmag, sfr, Mstar, Mgas, compaction_stage
0.11, 0.0321178, 0.249931, 28.6843, 0.44808, 0.876176, 0.177592, -5.4951, 19.1004, 0.44808, 5.75, 4063100000.0, 17.3436, 0.064675, 15558600.0, 261901000.0, pre
0.12, 0.10805, 0.205034, 21.2939, 0.429897, 0.884076, -0.183298, -6.03469, 16.8323, 0.429897, 6.75, 4924810000.0, 15.5242, 0.107731, 22912900.0, 266607000.0, pre
0.13, 0.025951, 0.209825, 18.9063, 0.638235, 0.0797312, -0.765702, -24.434, 17.9134, 0.638235, 7.75, 5821740000.0, 22.8914, 0.0297684, 27624900.0, 316797000.0, pre
0.14, -0.00982312, 0.216061, 0.979971, 0.13325, -0.980111, -0.147061, 0.250601, -0.501831, 0.13325, 9.75, 9045220000.0, 13.3368, 0.129982, 38867700.0, 485413000.0, pre
0.15, -0.233565, 0.218955, -27.4556, 0.51284, -0.707445, -0.48633, 32.0504, -4.2478, 0.51284, 12.0, 13702800000.0, 37.3051, 0.175322, 87618100.0, 726821000.0, pre
0.16, -0.0602928, -0.309777, 0.0266271, 0.915603, 0.150286, -0.372941, -2.42382, 14.7856, 0.915603, 13.75, 17335900000.0, 24.0886, 0.0907529, 67715600.0, 1130990000.0, pre
0.17, 0.0880487, -0.514767, 14.3232, 0.354021, -0.934463, -0.0380642, 1.13335, 23.5543, 0.354021, 15.5, 20785500000.0, 53.3956, 0.282164, 110323000.0, 1460920000.0, pre
0.18, -0.088081, 0.113195, -14.6132, 0.105056, -0.993952, 0.031989, 24.7555, -9.77973, 0.105056, 17.0, 23071500000.0, 24.481, 0.207099, 132464000.0, 1806010000.0, pre
0.19, 0.143891, -0.104413, 5.85754, 0.817764, -0.442157, -0.368455, -1.16477, -5.03525, 0.817764, 19.5, 29593000000.0, 38.2923, 0.456312, 168544000.0, 2840330000.0, pre
0.2, 0.026272, -0.141267, -20.3269, 0.665478, -0.667642, -0.333756, 8.07235, -38.4627, 0.665478, 24.5, 51658300000.0, 7.38543, 0.715392, 253389000.0, 5578190000.0, pre
0.21, -0.432436, -0.359322, -89.0596, -0.273796, 0.952562, -0.132893, -18.871, 24.5535, -0.273796, 27.5, 63529900000.0, 79.4062, 0.933416, 385950000.0, 6900250000.0, pre
0.22, 0.316637, -0.62609, -26.1548, -0.130358, 0.761493, 0.63493, 6.77283, -2.70052, -0.130358, 29.5, 68846700000.0, 114.109, 0.651441, 388451000.0, 7308220000.0, pre
0.23, 0.37338, 0.523058, -36.8717, -0.514067, -0.503711, 0.694269, -11.0148, -1.20769, -0.514067, 32.75, 82210700000.0, 73.5482, 1.90018, 778813000.0, 8930160000.0, pre
0.24, 0.658603, -0.960977, -5.85657, -0.69999, 0.331553, 0.632524, -17.3269, 3.1747, -0.69999, 36.0, 96672000000.0, 91.396, 0.330608, 868712000.0, 11270200000.0, pre
0.25, -0.632972, 0.482663, 54.3982, -0.49024, 0.490538, 0.720442, 4.10614, 22.0362, -0.49024, 42.25, 137210000000.0, 417.585, 1.11613, 1036420000.0, 16384500000.0, pre
0.26, -0.896451, 1.16795, 99.2969, 0.0509789, 0.696292, 0.715946, 0.686769, -38.7543, 0.0509789, 48.0, 173258000000.0, 312.549, 3.04378, 1347900000.0, 21184300000.0, during
