CGM2_Tchernyshyov22_obs
Wilde et al. 2021 https://arxiv.org/pdf/2008.08092.pdf

QSOName,Galaxy_ra,Galaxy_dec,z,r,log Mstar,SF/E,Rvir,log O VI:cdens,log O VI:eb
J1133+0327,173.3724,+3.4471,0.2461,151,9.7,E,124,14.78,nan
J1133+0327,173.3535,+3.4496,0.4526,290,10.1,SF,135,13.67,<
J1134+2555,173.7119,+25.8950,0.1477,372,8.2,SF,76,13.66,<
J1134+2555,173.7301,+25.9116,0.1567,158,8.6,SF,85,13.7,<
J1134+2555,173.7682,+25.9503,0.1599,371,8.9,SF,97,13.7,<
J1134+2555,173.7619,+25.9199,0.2414,284,10.9,SF,315,13.79,<
J1134+2555,173.7415,+25.9417,0.2472,250,9.8,SF,131,14.13,nan
J1134+2555,173.7163,+25.9163,0.2534,335,9.9,SF,134,13.75,<
J1134+2555,173.7454,+25.9359,0.3287,219,9.9,SF,132,13.62,<
J1134+2555,173.7436,+25.9159,0.3439,165,10.5,E,187,14.4,nan
J1134+2555,173.7423,+25.9223,0.4315,60,10.8,E,305,13.96,nan
J1134+2555,173.7466,+25.9120,0.5023,312,11.2,E,515,14.2,nan
J1233-0031,188.2471,-0.5445,0.1938,322,10.2,SF,156,13.58,<
J1233-0031,188.2732,-0.5381,0.3248,236,9.6,SF,119,13.58,<
J1241+5721,190.4516,+57.3520,0.458,273,9.4,SF,106,13.54,<
J1342-0053,205.7345,-0.8853,0.1782,248,8.9,SF,95,13.64,<
J1419+4207,214.7956,+42.1322,0.2888,54,9.5,SF,116,14.6,nan
J1419+4207,214.8114,+42.1439,0.3154,341,8.9,SF,93,13.68,<
J1419+4207,214.7902,+42.1218,0.3257,141,9.6,SF,118,13.69,<
J1419+4207,214.7784,+42.1306,0.3379,188,8.6,SF,85,13.74,<
J1419+4207,214.7901,+42.1115,0.3995,364,9.0,SF,96,13.59,<
J1419+4207,214.7975,+42.1300,0.4275,77,9.5,SF,110,14.3,nan
J1419+4207,214.7955,+42.1242,0.4543,127,9.5,SF,112,13.69,<
J1419+4207,214.7836,+42.1281,0.5799,166,10.0,SF,127,13.86,<
J1437+5045,219.4091,+50.7867,0.1413,352,8.2,SF,74,14.02,<
