a, center_x, center_y, center_z, L_x, L_y, L_z, bulk_velocity_x, bulk_velocity_y, bulk_velocity_z, Rvir, Mvir, Lmag, sfr, Mstar, Mgas, compaction_stage
0.11, 0.00174355, 0.176787, 50.3576, 0.245579, 0.968247, -0.0467909, -11.7929, -10.4824, 0.245579, 6.75, 6137710000.0, 16.8276, 0.0360372, 7544710.0, 512435000.0, pre
0.12, -0.126539, -0.512341, 29.319, 0.564916, -0.824603, -0.029984, 1.14737, -29.9831, 0.564916, 9.0, 11200200000.0, 49.289, 0.0184961, 10299800.0, 1068820000.0, pre
0.13, -0.208167, -0.189311, -21.1402, 0.19668, -0.980427, -0.00889427, 19.8255, 9.76665, 0.19668, 10.75, 15482900000.0, 17.6699, 0.150612, 18686300.0, 1622940000.0, pre
0.14, 0.393674, -0.0287514, 39.4204, -0.481738, -0.852172, -0.204284, -4.99927, -20.1165, -0.481738, 12.25, 18139000000.0, 50.2265, 0.629956, 77844300.0, 1819890000.0, pre
0.15, -0.0149936, -0.284413, 7.14086, -0.747294, -0.653533, 0.120196, -14.3008, -4.12754, -0.747294, 13.75, 20859500000.0, 23.7845, 0.291796, 115372000.0, 1861270000.0, pre
0.16, 0.183103, -0.00785256, -18.3709, 0.382879, -0.886361, 0.260324, -1.87535, 5.46668, 0.382879, 14.75, 21444900000.0, 28.8446, 0.559572, 194089000.0, 1890570000.0, pre
0.17, -0.114137, -0.317578, 27.9063, 0.495296, -0.7587, 0.423151, 29.6629, 29.2609, 0.495296, 16.25, 24238600000.0, 66.8665, 0.299796, 220961000.0, 2503140000.0, pre
0.18, -0.0293557, 0.134352, 28.6437, 0.480843, -0.870954, -0.101139, -9.45256, 26.8483, 0.480843, 19.25, 34086700000.0, 47.9847, 0.467013, 282219000.0, 4133570000.0, pre
0.19, 0.010597, 0.269936, 2.83918, -0.202086, 0.976894, -0.0695589, -10.3697, -9.98231, -0.202086, 23.5, 52979200000.0, 65.1379, 1.54019, 454657000.0, 6489940000.0, pre
0.2, 0.597176, 1.0507, 12.3034, -0.290781, 0.94101, -0.17305, -3.67217, -65.6479, -0.290781, 30.5, 98886100000.0, 145.642, 0.899946, 567295000.0, 11228500000.0, pre
0.21, 0.0980263, -0.072028, 37.1576, 0.238438, 0.876058, 0.41913, 20.8807, -24.152, 0.238438, 33.75, 114344000000.0, 138.468, 3.55584, 885268000.0, 12176700000.0, during
0.22, -0.328805, 0.818212, 20.3104, 0.597192, -0.649284, 0.470948, 21.4116, -40.4902, 0.597192, 36.5, 126824000000.0, 104.952, 10.1368, 1659400000.0, 11847200000.0, during
0.23, 0.135389, -0.0447174, -10.3002, 0.229024, -0.205738, 0.95143, -1.7024, 6.06011, 0.229024, 39.25, 138159000000.0, 180.95, 8.49245, 3222150000.0, 11116700000.0, during
0.24, 0.0576273, 0.0379035, -9.6478, 0.147983, -0.499808, 0.853401, 15.6906, -4.88646, 0.147983, 41.0, 139977000000.0, 247.866, 3.34239, 3744330000.0, 10529500000.0, during
0.25, 0.0633863, 0.00452045, 8.07644, 0.110345, -0.409141, 0.905775, 0.993848, 1.06229, 0.110345, 42.75, 140967000000.0, 269.717, 4.4751, 4139310000.0, 10327600000.0, during
0.26, 0.293493, -0.0442449, 2.66216, 0.274928, -0.487731, 0.828573, 16.1429, 0.519867, 0.274928, 44.5, 141918000000.0, 366.244, 2.88398, 4521810000.0, 10279300000.0, post
0.27, -0.230831, -0.431338, 18.3391, 0.256569, -0.579614, 0.773447, 20.5344, 16.3979, 0.256569, 46.25, 143154000000.0, 458.481, 2.09689, 4809270000.0, 10441600000.0, post
0.28, -0.0731182, -0.124178, -5.35156, 0.162008, -0.629986, 0.75952, -10.3119, -10.2525, 0.162008, 48.25, 144830000000.0, 460.12, 2.87212, 5169800000.0, 10269900000.0, post
0.29, 0.289867, -0.419269, 1.36266, 0.138439, -0.596121, 0.790869, 54.3954, 38.7636, 0.138439, 50.5, 150532000000.0, 567.646, 3.16035, 5478020000.0, 10318400000.0, post
0.3, -0.445906, -0.501311, 35.104, 0.0681212, -0.571543, 0.81774, -0.396837, 9.95158, 0.0681212, 54.0, 167480000000.0, 546.541, 1.71021, 5777210000.0, 11513000000.0, post
0.31, 0.437768, 0.0199941, -9.90214, 0.0726374, -0.634946, 0.769134, 34.8929, 26.6869, 0.0726374, 60.75, 218663000000.0, 731.006, 2.67278, 6120580000.0, 15549800000.0, post
0.32, -0.902718, -0.263275, 25.6317, -0.0522134, -0.501282, 0.863707, 10.2065, 4.81365, -0.0522134, 65.0, 243400000000.0, 729.278, 2.64039, 6518570000.0, 17314600000.0, post
0.33, 0.511199, -0.263374, 35.6117, -0.259464, -0.448458, 0.855315, -27.3609, 4.38965, -0.259464, 69.5, 272216000000.0, 565.355, 11.5741, 7570960000.0, 18496100000.0, post
0.34, -0.72164, -0.0846705, 15.9042, -0.340387, -0.157441, 0.927011, 14.309, -4.04593, -0.340387, 73.0, 288676000000.0, 516.671, 7.9594, 9646960000.0, 18647800000.0, post
0.35, 0.255947, -0.291636, 30.9622, -0.29168, -0.414223, 0.862173, 1.50952, 19.0468, -0.29168, 76.25, 301646000000.0, 656.528, 8.47588, 10684000000.0, 18179900000.0, post
0.36, 0.0404318, -0.0459461, -4.82665, -0.520442, -0.148827, 0.840827, -25.2336, -13.4041, -0.520442, 79.0, 311702000000.0, 612.261, 6.3996, 11404700000.0, 17517300000.0, post
0.37, 0.355842, 0.0039296, -19.7678, -0.475579, -0.0773312, 0.876267, -9.59575, -6.80712, -0.475579, 82.25, 325355000000.0, 630.135, 5.61012, 12454000000.0, 17485000000.0, post
0.38, 0.646179, 0.0263484, 5.96557, -0.463321, -0.176249, 0.868487, -31.6436, -19.3194, -0.463321, 85.75, 339763000000.0, 726.73, 4.7362, 13206000000.0, 18149400000.0, post
0.39, -0.120664, -0.260154, 18.8276, -0.387826, -0.20151, 0.899436, -27.9432, -18.1771, -0.387826, 88.5, 347146000000.0, 762.103, 2.86236, 13692000000.0, 19011200000.0, post
0.4, -0.48025, -0.913112, 15.1704, -0.264982, -0.23707, 0.934656, -57.6969, -4.84659, -0.264982, 91.0, 354221000000.0, 929.48, 3.74554, 14198100000.0, 19610400000.0, post
0.41, -0.641036, -0.323501, 10.0869, -0.150546, -0.294199, 0.943813, -11.4236, -8.63882, -0.150546, 94.0, 362710000000.0, 1019.21, 3.02893, 14718200000.0, 20531600000.0, post
0.42, -1.13071, -0.227575, 37.5224, -0.136767, -0.257813, 0.956466, -33.7611, -9.00417, -0.136767, 96.25, 365687000000.0, 1082.23, 1.78925, 14962200000.0, 21158200000.0, post
0.43, 0.0384738, -0.319702, 6.62639, -0.100746, -0.279978, 0.954705, -51.7349, -17.1784, -0.100746, 98.75, 370501000000.0, 1305.92, 2.13601, 15189600000.0, 21764200000.0, post
0.44, -1.77458, -0.690009, 47.2184, -0.00630066, -0.321635, 0.946843, -45.0216, -23.31, -0.00630066, 101.25, 374841000000.0, 1473.42, 2.82342, 15501100000.0, 22072100000.0, post
0.45, -0.573181, -0.486081, 32.0615, 0.0230726, -0.359167, 0.932988, -59.5966, -28.4357, 0.0230726, 103.5, 377624000000.0, 1552.6, 2.13648, 15582500000.0, 22262600000.0, post
0.46, -0.863425, -0.20824, 33.1715, 0.0591701, -0.376078, 0.924697, -78.9747, -44.6816, 0.0591701, 105.75, 378695000000.0, 1550.9, 1.78854, 15830200000.0, 22327300000.0, post
0.47, -2.16484, -1.16586, 32.5962, 0.139989, -0.490952, 0.859866, -48.1168, -48.6544, 0.139989, 107.5, 376222000000.0, 1658.57, 2.13734, 16010700000.0, 22472900000.0, post
0.48, -1.42018, -0.345832, 19.9392, 0.171297, -0.490219, 0.854601, -81.5928, -57.8733, 0.171297, 109.75, 377216000000.0, 1871.46, 2.15885, 16087400000.0, 22561400000.0, post
0.49, 1.33284, 1.36777, -17.7118, 0.256651, -0.48473, 0.836162, -41.1212, -24.112, 0.256651, 112.5, 383630000000.0, 1831.97, 2.10983, 16257800000.0, 22563700000.0, post
0.5, 0.140088, 0.521628, 2.62234, 0.257885, -0.454873, 0.8524, -48.6423, -34.6975, 0.257885, 115.0, 389023000000.0, 1786.99, 1.63781, 16574300000.0, 22329500000.0, post
0.51, -0.929252, 0.220227, 14.0455, 0.287624, -0.445296, 0.847929, -60.0932, -36.0349, 0.287624, 117.25, 392637000000.0, 2019.64, 2.4563, 16560300000.0, 22174000000.0, post
0.52, -1.24647, -0.183366, 17.5178, 0.333711, -0.433605, 0.837033, -37.9343, -28.4328, 0.333711, 120.5, 403308000000.0, 1974.7, 1.69294, 16947000000.0, 21986400000.0, post
0.53, 0.256077, 0.956929, -14.5125, 0.350382, -0.464103, 0.813536, -43.9124, -21.7691, 0.350382, 123.75, 417455000000.0, 1953.78, 1.91412, 17168900000.0, 22140600000.0, post
0.54, -1.02747, 0.245833, 14.855, 0.331806, -0.500904, 0.799375, -46.6361, -37.7477, 0.331806, 126.5, 423899000000.0, 1912.31, 1.68999, 17356300000.0, 21966200000.0, post
0.55, -0.587103, -0.375016, 12.5001, 0.31906, -0.489187, 0.811725, -17.6853, -14.296, 0.31906, 129.25, 430841000000.0, 1910.14, 2.74414, 17752200000.0, 21501500000.0, post
0.561, -0.074352, 0.244665, 9.32062, 0.339031, -0.458324, 0.821582, -24.1193, -16.0975, 0.339031, 132.5, 439785000000.0, 1808.92, 1.52607, 18243400000.0, 20935700000.0, post
