a, center_x, center_y, center_z, L_x, L_y, L_z, bulk_velocity_x, bulk_velocity_y, bulk_velocity_z, Rvir, Mvir, Lmag, sfr, Mstar, Mgas, compaction_stage
0.12, 0.0250291, -0.167518, -1.94928, -0.872297, -0.106263, 0.477291, -6.55023, 2.88098, -0.872297, 6.75, 5040090000.0, 24.4354, 0.0579736, 6761870.0, 449959000.0, pre
0.13, 0.0396765, 0.184965, -0.0688451, -0.101161, 0.938045, 0.331419, 1.69115, -10.1876, -0.101161, 8.5, 7909060000.0, 7.52149, 0.0591206, 10647200.0, 668026000.0, pre
0.14, 0.206736, 0.217888, 9.71285, 0.361585, -0.33748, -0.869116, 18.5549, 9.08156, 0.361585, 10.25, 10991300000.0, 23.6811, 0.03959, 18928500.0, 933681000.0, pre
0.15, -0.304884, 0.04093, -11.8903, 0.535264, -0.425744, -0.729544, -2.77769, -22.3077, 0.535264, 12.25, 15351900000.0, 30.8876, 0.571825, 64851800.0, 1395530000.0, pre
0.16, -0.133238, -0.272112, -7.42253, -0.820086, -0.511751, 0.256065, -34.3394, -35.2883, -0.820086, 14.25, 19636000000.0, 46.9473, 0.184117, 81710500.0, 1786090000.0, pre
0.17, 0.201324, 0.213064, 24.9003, -0.260144, 0.789041, -0.556542, 17.7516, -3.06614, -0.260144, 16.25, 24080700000.0, 19.9526, 0.716433, 135928000.0, 2250620000.0, pre
0.18, 0.192115, 0.287646, -7.23377, -0.884677, -0.057934, 0.462591, -4.86068, -26.3858, -0.884677, 17.75, 26286800000.0, 44.1712, 0.430279, 186798000.0, 2469950000.0, pre
0.19, -0.0940329, -0.0285714, -13.0619, -0.344965, -0.539731, 0.767913, 8.41748, -11.7376, -0.344965, 19.5, 29934000000.0, 26.7703, 0.85144, 252203000.0, 2548660000.0, pre
0.2, -0.407658, -0.277491, 19.1877, -0.0647287, -0.624604, 0.778255, -8.34733, 4.53667, -0.0647287, 21.75, 36123200000.0, 31.2788, 0.428322, 295871000.0, 3101440000.0, pre
0.21, 0.402472, 0.054913, 21.2587, 0.159604, -0.0361236, -0.98652, 59.24, 32.7297, 0.159604, 24.0, 41628700000.0, 37.5479, 0.478231, 381459000.0, 3386000000.0, pre
0.22, -0.0989123, -0.172388, 6.06137, -0.799624, -0.348311, -0.489164, 26.2308, 5.45099, -0.799624, 26.0, 46021400000.0, 29.8709, 0.993093, 452415000.0, 3549250000.0, pre
0.23, 0.425478, 0.472432, -16.2951, -0.786845, -0.456188, 0.415653, 44.3209, 13.5229, -0.786845, 28.25, 51708100000.0, 23.245, 0.382478, 528172000.0, 3531990000.0, pre
0.24, 0.322062, 0.0911272, 16.9275, -0.624777, -0.135402, -0.768973, -3.98115, -1.33456, -0.624777, 29.75, 53580600000.0, 29.0471, 0.387999, 561059000.0, 3631640000.0, pre
0.25, -0.558829, -0.147411, 21.5352, -0.297513, 0.0763461, -0.95166, 37.9492, 4.0434, -0.297513, 31.25, 55638700000.0, 61.7763, 0.513847, 613918000.0, 3751570000.0, pre
0.26, 0.118787, 0.0916018, 8.4232, -0.143514, -0.168026, -0.97528, 16.0449, 4.031, -0.143514, 33.25, 59067800000.0, 47.9508, 0.594382, 683281000.0, 3988830000.0, pre
0.27, 0.192533, 0.690093, 16.8671, -0.720363, 0.263574, -0.641565, 42.7572, -2.30119, -0.720363, 35.5, 64336800000.0, 135.786, 0.316383, 769030000.0, 4401030000.0, pre
0.28, 0.024554, 0.0226212, -15.4098, 0.0792117, -0.165879, -0.98296, -35.0097, -8.86869, 0.0792117, 38.25, 72292800000.0, 62.5717, 0.837385, 877080000.0, 5229640000.0, pre
0.29, -0.367588, -0.306242, 5.51756, -0.11747, 0.211729, -0.970243, 2.0341, -6.75863, -0.11747, 42.5, 89350800000.0, 167.81, 1.19995, 1014970000.0, 7119870000.0, pre
