a, center_x, center_y, center_z, L_x, L_y, L_z, bulk_velocity_x, bulk_velocity_y, bulk_velocity_z, Rvir, Mvir, Lmag, sfr, Mstar, Mgas, compaction_stage
0.1, -0.0138096, 0.062988, 16.7896, 0.668286, -0.686195, 0.287282, -5.04207, -7.31865, 0.668286, 8.75, 18498300000.0, 6.02897, 0.805764, 151749000.0, 1558430000.0, 1558430000.0
0.11, -0.108233, -0.0553759, 4.79389, 0.612697, -0.513537, 0.600734, -6.84866, 2.70288, 0.612697, 11.5, 30466700000.0, 48.4241, 0.469316, 204140000.0, 2338600000.0, 2338600000.0
0.12, -0.0696275, 0.0568747, -15.2058, 0.552051, 0.830326, -0.0761457, 4.46848, 16.9677, 0.552051, 14.5, 47599200000.0, 21.0771, 2.04767, 368163000.0, 4869380000.0, 4869380000.0
0.13, 0.0221243, 0.128948, -2.09413, 0.796098, 0.503636, 0.335526, -10.5827, 12.3577, 0.796098, 18.5, 79551800000.0, 33.9521, 3.7574, 742328000.0, 8076970000.0, 8076970000.0
0.14, -0.0141934, 0.0633208, 6.21539, 0.138577, 0.946893, 0.290154, 2.29681, 0.802418, 0.138577, 23.25, 128116000000.0, 41.1802, 23.5468, 2790980000.0, 12563700000.0, 12563700000.0
0.15, -0.00118923, -0.0175235, 4.54224, -0.528666, 0.838499, 0.132031, 9.2939, -9.99463, -0.528666, 27.0, 160403000000.0, 74.6596, 33.4138, 5657200000.0, 13562600000.0, 13562600000.0
0.16, -0.041707, 0.033307, 0.0603003, -0.73504, 0.642026, 0.217991, 0.973302, 2.68232, -0.73504, 32.75, 237682000000.0, 115.187, 26.5388, 8571520000.0, 17185300000.0, 17185300000.0
0.17, 0.0324151, 0.150271, -5.02043, -0.829152, 0.487532, 0.273532, -16.2949, 18.7414, -0.829152, 36.5, 275704000000.0, 161.642, 33.8119, 11563800000.0, 18219500000.0, 18219500000.0
0.18, 0.0306781, -0.00719941, -6.13996, -0.960206, 0.273392, 0.0571001, 2.40084, -0.905092, -0.960206, 39.75, 295170000000.0, 103.171, 37.5188, 18011200000.0, 16860800000.0, 16860800000.0
0.19, 0.00737887, -0.0109346, 0.026846, -0.829534, -0.432562, -0.353219, -9.65787, 4.23801, -0.829534, 45.0, 368229000000.0, 107.793, 34.8525, 22202300000.0, 20448400000.0, 20448400000.0
0.2, 0.0136117, -0.00154918, -17.543, -0.367591, -0.893931, -0.256444, -9.14165, -8.06945, -0.367591, 50.25, 442549000000.0, 125.352, 25.909, 25302100000.0, 23568200000.0, 23568200000.0
0.21, 0.00576659, -0.00905249, 0.015054, -0.913764, -0.171274, 0.368375, -6.50125, -0.969838, -0.913764, 54.5, 486149000000.0, 82.3938, 39.1825, 32869900000.0, 23444200000.0, 23444200000.0
0.22, -0.0479062, -0.100103, 26.3071, -0.199355, -0.305433, 0.931111, 2.34154, -7.0895, -0.199355, 58.25, 516934000000.0, 477.89, 30.5645, 36336600000.0, 23628800000.0, 23628800000.0
0.23, 0.433876, -0.00290229, -5.07357, -0.193689, -0.291081, 0.936887, -13.516, -13.8457, -0.193689, 60.5, 507957000000.0, 702.569, 26.5108, 38952300000.0, 22978900000.0, 22978900000.0
0.24, 0.267282, -0.0476087, -2.0996, -0.18441, -0.358343, 0.915196, 4.89566, -5.53364, -0.18441, 62.75, 502445000000.0, 839.619, 18.0767, 40926000000.0, 22738200000.0, 22738200000.0
