a, center_x, center_y, center_z, L_x, L_y, L_z, bulk_velocity_x, bulk_velocity_y, bulk_velocity_z, Rvir, Mvir, Lmag, sfr, Mstar, Mgas, compaction_stage
0.13, -0.0381498, -0.138608, -4.13473, 0.989268, 0.120726, 0.082309, -3.66644, -0.870302, 0.989268, 5.75, 2319820000.0, 10.5501, 0.0162005, 4585710.0, 135256000.0, 135256000.0
0.14, -0.17233, 0.181259, 1.93189, 0.952376, -0.094732, 0.289837, 3.56673, -3.11153, 0.952376, 6.75, 3012270000.0, 3.27965, 0.0377815, 8179700.0, 165232000.0, 165232000.0
0.15, -0.042809, 0.0278465, 0.51084, 0.981399, -0.164726, 0.0985944, 0.824613, 0.271837, 0.981399, 8.0, 4199060000.0, 9.05418, 0.0190643, 11118000.0, 247118000.0, 247118000.0
0.16, -0.05143, -0.0086919, -9.69281, -0.0347241, 0.685964, -0.726806, -20.2307, -14.1891, -0.0347241, 10.25, 7141250000.0, 14.238, 0.0886365, 19181900.0, 642187000.0, 642187000.0
0.17, 0.218563, -0.136192, -0.858479, -0.151119, 0.514001, 0.844373, -1.70192, 2.3659, -0.151119, 12.75, 11729700000.0, 6.34108, 0.327243, 49081800.0, 1341980000.0, 1341980000.0
0.18, 0.114248, 0.202161, -15.8033, -0.252086, -0.56024, 0.78904, -9.16716, -12.984, -0.252086, 15.5, 17863700000.0, 12.5056, 0.197506, 68110600.0, 2187420000.0, 2187420000.0
0.19, 0.0168657, 0.331133, -9.18775, -0.595756, 0.788682, 0.151843, -0.968907, 8.25507, -0.595756, 17.25, 20759900000.0, 23.3713, 0.146632, 84622000.0, 2605990000.0, 2605990000.0
0.2, -0.300956, 0.634214, 1.97661, -0.896833, 0.265887, 0.353546, -6.46227, -6.71147, -0.896833, 20.0, 27361900000.0, 35.5825, 0.0148431, 89406400.0, 3424300000.0, 3424300000.0
0.21, -0.336152, -0.253063, 8.7178, -0.997543, -0.0451001, -0.0536022, -13.1545, 44.3241, -0.997543, 28.25, 67081700000.0, 79.016, 0.442229, 127964000.0, 8351950000.0, 8351950000.0
0.22, -1.90577, 1.49646, 23.3398, 0.804409, 0.357019, 0.47483, -40.8583, -13.562, 0.804409, 34.25, 105172000000.0, 133.225, 0.769509, 212134000.0, 11889400000.0, 11889400000.0
0.23, 0.060087, 0.0534148, -18.8038, 0.182293, 0.339499, 0.922773, 13.7677, -0.55717, 0.182293, 38.25, 128137000000.0, 24.7496, 10.6389, 1332480000.0, 12987900000.0, 12987900000.0
0.24, -0.135708, 0.061222, -4.36901, -0.693735, -0.113037, 0.711305, 14.0205, 15.0658, -0.693735, 41.25, 141748000000.0, 11.4417, 1.04241, 1507770000.0, 12929800000.0, 12929800000.0
0.25, 0.0517192, -0.0767948, -32.2696, -0.169378, 0.246813, 0.954146, -4.94408, 7.07273, -0.169378, 44.25, 156592000000.0, 67.3667, 7.55951, 3074510000.0, 13001500000.0, 13001500000.0
0.26, -0.0372332, 0.31949, 7.34848, -0.497882, 0.863983, -0.0751463, 21.6739, 4.09801, -0.497882, 46.75, 161572000000.0, 154.328, 8.63731, 4508890000.0, 12303600000.0, 12303600000.0
0.27, 0.39847, 0.362005, 7.29127, -0.887647, 0.459573, -0.0295714, -7.27329, -13.4054, -0.887647, 48.5, 162936000000.0, 194.495, 4.59688, 5252030000.0, 11541600000.0, 11541600000.0
0.28, 0.0520115, -0.0870782, -3.72592, -0.895603, 0.335668, 0.291929, -5.95299, 4.21663, -0.895603, 51.0, 170750000000.0, 162.476, 6.09443, 5907050000.0, 11038900000.0, 11038900000.0
0.29, -0.152754, 0.0375171, 9.5383, -0.875281, 0.234915, 0.422728, -3.81499, 10.6741, -0.875281, 56.5, 209361000000.0, 284.326, 5.54622, 6699140000.0, 13100900000.0, 13100900000.0
0.3, -0.0816744, -0.0480638, -6.63471, -0.77774, 0.415703, 0.471499, -9.05496, 13.417, -0.77774, 59.5, 222839000000.0, 322.176, 4.38921, 7327840000.0, 13326100000.0, 13326100000.0
0.31, -0.103653, 0.108637, 15.3708, -0.819379, 0.502964, 0.275035, 11.2957, 6.02351, -0.819379, 63.5, 245754000000.0, 407.015, 3.84839, 7869180000.0, 14512500000.0, 14512500000.0
0.32, -0.26188, -0.159015, -6.72229, -0.80797, 0.577283, -0.118021, 6.91639, 3.48625, -0.80797, 66.75, 260194000000.0, 528.391, 2.63112, 8306670000.0, 15366500000.0, 15366500000.0
0.33, 0.0415268, 1.16761, 21.9654, -0.771657, 0.61403, -0.165872, 24.1104, 13.575, -0.771657, 70.25, 276465000000.0, 563.523, 3.98916, 8754370000.0, 16248100000.0, 16248100000.0
0.34, 0.005799, 0.20512, -11.3442, -0.802516, 0.583347, 0.125198, -15.4866, 20.3983, -0.802516, 72.75, 281446000000.0, 479.948, 4.39058, 9325850000.0, 16591200000.0, 16591200000.0
0.35, 0.104575, 0.0377466, 5.46373, -0.820247, 0.521675, 0.234629, 3.59678, -14.8785, -0.820247, 75.25, 287001000000.0, 453.811, 4.03514, 9786970000.0, 16960000000.0, 16960000000.0
0.36, 0.23243, 0.765238, 17.0358, -0.778096, 0.463693, 0.42374, 18.3458, 5.2784, -0.778096, 78.0, 296555000000.0, 427.639, 7.57414, 10645400000.0, 16916600000.0, 16916600000.0
0.37, -0.439079, 0.15292, 6.92135, -0.722449, 0.421872, 0.547806, -6.90937, 18.8802, -0.722449, 82.5, 325000000000.0, 455.432, 9.8183, 12030600000.0, 18789400000.0, 18789400000.0
0.38, 0.609403, 0.608108, -21.4294, -0.557719, -0.0844685, 0.825721, -31.7883, 2.39895, -0.557719, 86.75, 353910000000.0, 486.33, 5.92433, 14654200000.0, 22481300000.0, 22481300000.0
0.39, 1.14911, -0.0626824, -55.2277, -0.457914, -0.290505, 0.840191, -45.7178, -43.9687, -0.457914, 89.5, 361045000000.0, 618.916, 7.70514, 15346800000.0, 22366700000.0, 22366700000.0
0.4, -0.385682, 0.177079, 14.7409, -0.400689, -0.373522, 0.836618, 45.5131, 22.5496, -0.400689, 92.0, 362209000000.0, 763.84, 4.87415, 16196400000.0, 21761800000.0, 21761800000.0
0.41, 0.0142534, 0.259714, 0.794566, -0.444521, -0.366484, 0.817368, -4.00233, 1.3998, -0.444521, 94.25, 367580000000.0, 515.344, 4.4542, 16643200000.0, 21061100000.0, 21061100000.0
0.42, 0.569635, 0.359732, 17.9261, -0.406568, -0.355685, 0.841541, -7.45851, 4.05009, -0.406568, 97.0, 373980000000.0, 429.037, 6.52045, 17329200000.0, 20249300000.0, 20249300000.0
0.43, -0.241635, -0.00754502, 4.60988, -0.416016, -0.464711, 0.781648, 18.0186, 8.0777, -0.416016, 98.5, 368698000000.0, 209.502, 7.96449, 18328400000.0, 18705100000.0, 18705100000.0
0.44, 0.0552588, 0.0930835, 21.4811, -0.227767, -0.270812, 0.935298, 2.3302, 6.71365, -0.227767, 100.25, 362789000000.0, 142.903, 10.6058, 19736000000.0, 16275100000.0, 16275100000.0
0.45, -0.266393, 0.0280925, 45.1511, -0.0387081, -0.0847404, 0.995651, 4.64855, 9.61179, -0.0387081, 102.25, 361117000000.0, 282.456, 5.63535, 20485400000.0, 14433100000.0, 14433100000.0
0.46, 0.10083, -0.038829, 9.9869, 0.467151, 0.003884, 0.884169, -14.1995, -7.96382, 0.467151, 104.25, 360594000000.0, 165.266, 4.03416, 21000700000.0, 13058200000.0, 13058200000.0
0.47, -0.0107603, -0.290625, -24.4074, 0.60286, 0.500859, 0.621048, -0.809498, 2.14279, 0.60286, 106.25, 360308000000.0, 387.598, 2.70158, 21288800000.0, 12226800000.0, 12226800000.0
0.48, 0.255866, 0.067899, -21.8916, 0.553608, 0.577173, 0.600325, 19.3674, 7.5197, 0.553608, 108.25, 358673000000.0, 621.671, 1.5921, 21739500000.0, 11665000000.0, 11665000000.0
