MAGG_Galbiati23_obs
Galbiati et al. 2023 https://arxiv.org/pdf/2302.00021.pdf

z,r,Rvir,log C IV:cdens,log C IV:eb,log Si IV:cdens,log Si IV:eb

3,35.50651175085678,51.34961554,nan,nan,nan,nan
3,40.53245178316938,51.34961554,13.126126772980234,nan,nan,nan
3,65.80746386988586,51.34961554,13.454748681107443,nan,nan,nan
3,73.02132211918256,51.34961554,13.546621472626876,nan,nan,nan
3,86.57084632525593,51.34961554,13.69503136661981,nan,nan,nan
3,91.62464823877131,51.34961554,12.73390062457034,nan,nan,nan
3,93.3739804284464,51.34961554,13.680897091001436,nan,nan,nan
3,94.48423321599529,51.34961554,13.34520804506504,nan,nan,nan
3,99.05883676645482,51.34961554,13.613759281814156,nan,nan,nan
3,102.63456228906438,51.34961554,13.405278716443132,nan,nan,nan
3,102.63456228906438,51.34961554,12.606692144004969,nan,nan,nan
3,103.12097785060203,51.34961554,nan,nan,nan,nan
3,109.39925732231046,51.34961554,13.140261048598608,nan,nan,nan
3,123.70933263917055,51.34961554,13.24980168464101,nan,nan,nan
3,124.00213369877699,51.34961554,13.217999564499667,nan,nan,nan
3,124.58981650415659,51.34961554,13.285137373686947,nan,nan,nan
3,124.58981650415659,51.34961554,13.002451861319456,nan,nan,nan
3,135.97849366851491,51.34961554,nan,nan,nan,nan
3,137.27043250982598,51.34961554,13.271003098068572,nan,nan,nan
3,137.5953306176247,51.34961554,12.974183310082708,nan,nan,nan
3,157.81633400514403,51.34961554,12.691497797715217,nan,nan,nan
3,168.6162335204147,51.34961554,13.391144440824757,nan,nan,nan
3,171.0249799784543,51.34961554,13.295738080400728,nan,nan,nan
3,173.05853322198428,51.34961554,12.970649741178114,nan,nan,nan
3,173.46813628765682,51.34961554,12.670296384287655,nan,nan,nan
3,174.29025311691368,51.34961554,nan,nan,nan,nan
3,177.19846642221836,51.34961554,12.85050839842193,nan,nan,nan
3,184.4649071961862,51.34961554,nan,nan,nan,nan
3,188.4317164143467,51.34961554,nan,nan,nan,nan
3,194.77253680402464,51.34961554,nan,nan,nan,nan
3,198.0225182167057,51.34961554,12.963582603368927,nan,nan,nan
3,200.37708264502658,51.34961554,nan,nan,nan,nan
3,205.65614170031958,51.34961554,13.585490730577407,nan,nan,nan
3,206.14289831697727,51.34961554,nan,nan,nan,nan
3,208.59401720941023,51.34961554,nan,nan,nan,nan
3,215.1041902841969,51.34961554,nan,nan,nan,nan
3,220.2499462448391,51.34961554,13.613759281814156,nan,nan,nan
3,228.20030564586702,51.34961554,13.002451861319456,nan,nan,nan
3,232.55719157158114,51.34961554,nan,nan,nan,nan
3,239.24898427605785,51.34961554,nan,nan,nan,nan
3,251.4262845377702,51.34961554,13.649094970860093,nan,nan,nan
3,30.16241555930139,51.34961554,11.935314052132178,<,nan,nan
3,42.194580503879195,51.34961554,12.663229246478467,<,nan,nan
