a, center_x, center_y, center_z, L_x, L_y, L_z, bulk_velocity_x, bulk_velocity_y, bulk_velocity_z, Rvir, Mvir, Lmag, sfr, Mstar, Mgas, compaction_stage
0.14, 0.0240194, -0.072112, 13.3775, -0.89206, -0.16935, 0.418986, -3.61304, 0.652577, -0.89206, 9.25, 8092990000.0, 16.2505, 0.0417691, 10156500.0, 798303000.0, pre
0.15, 0.0432133, -0.386978, 12.6717, -0.464629, -0.853524, -0.235833, -11.7989, 13.8023, -0.464629, 10.5, 9454960000.0, 15.1851, 0.0887903, 16878500.0, 1040380000.0, pre
0.16, -0.0768209, 0.143802, -12.4309, -0.340752, -0.862978, -0.373038, 0.273064, -16.6503, -0.340752, 11.5, 10278200000.0, 21.4247, 0.0167115, 19866900.0, 1143460000.0, pre
0.17, -0.26366, 0.1082, -18.3187, -0.65596, -0.174606, -0.734323, 16.9967, 5.91707, -0.65596, 15.25, 20033300000.0, 29.6391, 0.252263, 47232900.0, 2300930000.0, pre
0.18, 0.44259, 0.0218426, 0.487608, -0.787052, -0.516312, 0.337595, -21.6948, -25.3859, -0.787052, 19.0, 33062100000.0, 107.089, 0.553284, 84666700.0, 4269160000.0, pre
0.19, 0.120292, 0.00838325, -17.4525, -0.538955, -0.622678, 0.567273, -3.51056, -18.3719, -0.538955, 25.0, 63376000000.0, 90.9027, 0.422119, 123589000.0, 7223050000.0, pre
0.2, -0.148594, 0.0529329, 32.1589, -0.0787141, -0.756566, 0.649163, -2.73114, 8.21775, -0.0787141, 28.0, 76292400000.0, 38.7618, 5.6134, 416796000.0, 8328690000.0, pre
0.21, -0.155954, 0.0269537, -86.1187, 0.0334743, 0.792203, 0.609339, 30.6652, -22.0957, 0.0334743, 31.75, 95929700000.0, 110.029, 3.33535, 1088850000.0, 9811310000.0, pre
0.22, 0.14498, -0.056938, -2.49479, -0.39499, 0.715006, 0.576844, 10.4115, -4.8141, -0.39499, 35.75, 120091000000.0, 80.8043, 4.31774, 1444080000.0, 11692000000.0, pre
0.23, -0.150929, 0.149597, 42.9359, 0.0297273, 0.850757, 0.524718, 10.1385, -14.7842, 0.0297273, 39.0, 137641000000.0, 152.867, 4.84329, 1946450000.0, 13042800000.0, pre
0.24, -0.0960184, 0.0652841, 2.90506, 0.255911, 0.95519, 0.14873, 3.13386, -8.54179, 0.255911, 44.0, 174554000000.0, 48.7483, 3.68459, 2475940000.0, 16487900000.0, pre
0.25, -0.706042, 0.44811, 71.2673, 0.291223, 0.455843, 0.841068, 13.593, -30.1526, 0.291223, 48.0, 201048000000.0, 283.31, 3.82458, 2930180000.0, 18284000000.0, pre
0.26, -0.547404, 0.280727, 24.9912, 0.28488, 0.169737, 0.943416, -34.5997, -2.78833, 0.28488, 51.0, 215581000000.0, 193.402, 7.69254, 3874950000.0, 18023700000.0, during
0.27, 0.0175066, 0.102213, -39.0282, 0.393197, -0.383128, 0.835829, 19.3516, 19.1412, 0.393197, 54.5, 234826000000.0, 230.289, 8.34988, 4850710000.0, 18422600000.0, during
0.28, -0.623448, 0.320834, -7.82013, 0.102978, -0.187972, 0.976761, -2.71201, 2.34059, 0.102978, 59.25, 269659000000.0, 348.748, 7.41257, 5815030000.0, 19516100000.0, during
0.29, -0.267339, -0.21434, 21.8713, 0.0204822, 0.0102259, 0.999738, 23.0182, -13.9039, 0.0204822, 66.5, 342955000000.0, 299.329, 9.5772, 7644940000.0, 22920700000.0, during
0.3, 0.478202, 0.00356656, 32.4028, 0.111368, -0.142101, 0.983567, -0.867566, 20.3768, 0.111368, 70.25, 368916000000.0, 382.081, 14.7155, 9568300000.0, 23194100000.0, during
0.31, -0.4429, -0.0984893, 21.3589, -0.123647, -0.399811, 0.908219, -7.04895, 20.159, -0.123647, 75.0, 404387000000.0, 430.202, 11.798, 11005000000.0, 24034500000.0, during
0.32, 0.00206484, 0.0331851, 19.2867, 0.0204708, -0.163946, 0.986257, -8.60078, 2.51427, 0.0204708, 81.25, 469164000000.0, 349.224, 19.6906, 13405400000.0, 28078900000.0, during
0.33, 0.0277, 0.220064, 23.6047, -0.242228, -0.268859, 0.932223, -2.04642, 22.3262, -0.242228, 86.5, 522790000000.0, 418.963, 13.5283, 15657000000.0, 30509600000.0, during
0.34, 0.505654, 0.0988885, -18.2511, -0.268901, -0.465505, 0.843207, 15.2086, 3.80714, -0.268901, 91.75, 572235000000.0, 392.887, 11.3433, 17094000000.0, 34882800000.0, during
0.35, -0.262558, 0.144263, -6.45176, -0.444551, -0.742365, 0.501267, 20.8938, 17.6566, -0.444551, 97.0, 624151000000.0, 393.39, 11.3673, 18899100000.0, 37461400000.0, during
