Metadata recorded on file /project/projectdirs/agora/paper_CGM/ThinTimeSteps/ART-I/Cosmo_v17 with quasarscan version 3.0.3 on date 2022-01-12 13:21:04.308099
a, center_x, center_y, center_z, Rvir, Mvir, bulk_velocity_x, bulk_velocity_y, bulk_velocity_z, Mgas, Mdm, Lmag, L_x, L_y, L_z, Mstar, sfr
0.11121878027915955, 0.49839198589324946, 0.5115819573402405, 0.5004378855228424, 5.234212353097793, 2086347394.2185674, -11.79421705838327, 83.84903754008056, 21.15953829454885, 218102948.04704264, 1863637145.6137729, 8.433738129662105e+64, 0.3260432984937179, -0.8113054031930013, 0.48526210469928327, 0.0, 0.0
0.11356655508279802, 0.49816307425498957, 0.5118290781974791, 0.5006009638309478, 5.461213535043405, 3595746218.1421247, -31.98689197137312, 106.04246464096352, 41.625441360545686, 331867171.1067597, 3249960153.7516704, 1.1217256640218339e+66, 0.7221529185194323, -0.6910330802046513, -0.031119838314781136, 0.0, 0.0
0.11661855131387709, 0.4978290498256683, 0.5120720565319061, 0.5008001327514647, 5.957584463267778, 7008716306.7745, -59.30060724810524, 105.70893982455561, 46.97116839636644, 502220299.3054539, 6439657637.63913, 5.306765251470037e+66, 0.037215323058793465, 0.6877642410808517, -0.724979564139645, 109824.93756986118, 0.0008806127226083442
0.1195100098848343, 0.4974688589572906, 0.5123518109321594, 0.5009627342224121, 6.203928273644241, 9723537222.468426, -54.347461850845896, 98.29847044915365, 33.51288606010956, 1141813703.1584225, 8484927596.628679, 1.126994246685774e+66, -0.036301128001879346, -0.688257017413178, 0.7245581454150574, 0.0, 0.0
0.1215471625328064, 0.49721997976303095, 0.5125563442707062, 0.5010462701320648, 6.488364677555155, 11697433498.023836, -48.43673197983923, 97.88727090207291, 36.64461520678854, 1601447850.4182007, 9980230292.792042, 4.8350681621219684e+67, -0.7808916542656404, 0.5969795246828896, 0.183912129582751, 0.0, 0.0
0.12510089576244354, 0.49682146310806274, 0.512881338596344, 0.5011421144008636, 5.266197824672012, 8713532060.35565, -52.30682372970099, 97.9202027873363, 33.8746933598809, 1401622793.4990838, 7189843397.070241, 3.2466048155692617e+67, -0.08385883961669596, 0.7452968709059986, -0.6614380312893027, 16836.48150035304, 8.625714723988727e-05
0.12874040007591248, 0.496476799249649, 0.5132321715354919, 0.501177579164505, 6.498919774770628, 12969840929.276663, -68.53747861468165, 100.01543934244474, 43.21488432166158, 1664459445.2716398, 11100158507.978802, 3.6956442147342106e+67, -0.07389741134416115, 0.7411534908357955, -0.6672560794916343, 39341.01687742415, 0.00018029521637289228
0.1318119317293167, 0.496217280626297, 0.5134969055652618, 0.5011728405952453, 6.706582447308278, 13853021869.170193, -70.31612207748648, 113.87714835411518, 47.086960410533145, 1652589180.3780441, 11961295164.262714, 3.069655203660918e+67, 0.8108176737799604, -0.48866161410816206, -0.3221560596717988, 500846.6768867223, 0.010203565049349137
0.13511890172958374, 0.49601104855537426, 0.5138041973114014, 0.5011691749095918, 7.103674238782354, 14929567495.923746, -66.60197385154899, 119.33740813456691, 44.560477013176126, 1769643093.8538163, 12890579325.72017, 4.0937571201613774e+67, -0.09261609407287613, -0.6562349725282097, 0.7488510666010858, 66012.84865550851, 0.00023558959641725358
0.13861198723316193, 0.4958871901035309, 0.5140843391418456, 0.5012290179729461, 7.450699419151964, 16439304290.507341, -65.16080789526711, 115.5345348383828, 38.62647665831056, 2005766446.7282586, 14124556051.631256, 2.851646415543557e+67, -0.5241635384075768, -0.2800800505078514, 0.8042435889154282, 322815.31640561647, 0.001073205855390432
