Metadata recorded on file /project/projectdirs/agora/paper_CGM/ThinTimeSteps/CHANGA/Cal4 with quasarscan version 3.0.3 on date 2021-11-19 13:34:42.475538
a, center_x, center_y, center_z, Rvir, Mvir, bulk_velocity_x, bulk_velocity_y, bulk_velocity_z, Mgas, Mdm, Lmag, L_x, L_y, L_z, Mstar, sfr
0.11111111111100992, -0.002194, 0.011343, 0.000221, 5.77, 14296405708.843693, -60.87853716823394, 93.03595592571341, 42.761323309345585, 2930189501.15527, 117476566.04278381, 1.822169858907327e+69, -0.8045978466124053, 0.2820212074981193, 0.5225766391142861, 117476566.04278381, 1.409266784944388
0.1428354601840469, -0.003978, 0.014398, 0.001525, 8.42, 27217896261.03621, -63.7832610325972, 109.33183563817988, 40.72782442230524, 5885354968.030666, 509316584.15371543, 1.0021981667168821e+70, -0.34456609216036227, 0.813341277522538, -0.4687751853621759, 509316584.15371543, 4.599680277674024
0.1997011451769311, -0.00646021, 0.01949411, 0.00314728, 25.4, 159132959527.94482, -59.94934652543184, 135.3566897432731, 57.69851656797241, 20382507696.621292, 3994344025.5286837, 2.6333416832347487e+71, 0.7958009462622961, -0.23970552869225129, -0.5560954175700449, 3994344025.5286837, 37.11062717444003
0.20372179600940926, -0.006650727242231369, 0.01987124606966972, 0.003340027760714292, 21.861819774471314, 137916807466.7395, -56.2976495581169, 137.73815061098057, 58.90059452401915, 19791597979.213417, 4248603855.2701163, 6.491733130295707e+70, 0.7992328766299858, -0.5442542849711098, -0.25497859165887593, 3200506515.79574, 0.39783156764122113
0.20869616586765624, -0.006873721722513437, 0.020306235179305077, 0.0035090697929263115, 21.92711004209864, 133342843087.94304, -64.65552160459741, 136.42398599722327, 75.88974508757725, 18648458757.966022, 4234664966.194705, 2.1846479335002618e+70, 0.7202768870624465, -0.027120569427259024, -0.6931563176351876, 3122695300.4326, 0.2273488154107587
0.21279448043730181, -0.0070247650146484375, 0.020740825682878498, 0.0036897503305226564, 21.67755123368809, 127487120035.7482, -67.89920263364263, 132.40263812536065, 73.33403547136064, 16910078248.391493, 4222200697.8471293, 3.044966395146844e+70, 0.4057655908382957, -0.8164915583689094, 0.4107259675306137, 3144821015.8557262, 0.41942728074070706
0.216762554884098, -0.00720001757144928, 0.02112921699881554, 0.003876675851643086, 21.90225301053012, 126082731420.79634, -62.93985393878821, 135.43894349449138, 61.7908422084527, 17013031524.522974, 4233224804.0201454, 3.947301346909236e+70, 0.4651108883935036, -0.8137214240367235, 0.34861053564321975, 3134442017.2287235, 0.31457062683476894
0.22221904679033483, -0.007433368358761072, 0.021637907251715657, 0.004095169715583324, 21.742374439813197, 124293393540.95723, -66.95007893772663, 148.90615052474766, 67.08313560137297, 18410337217.430454, 4280565739.5142508, 5.465212843178987e+70, 0.7087041303984241, -0.7054985327411198, -0.0032055976573042238, 3078089883.549275, 0.5242636472848327
0.22718543272238512, -0.007657140959054232, 0.022117095068097115, 0.004325111862272024, 22.433860887413594, 128152574767.89037, -66.22296775229765, 148.32173322130964, 72.50512702310253, 20076631657.35087, 4343913262.769457, 3.384043129842435e+70, 0.6579221953256013, -0.7477137557719237, 0.08979156044632237, 3094892170.6678705, 0.29357237548541326
0.23274090374045925, -0.007912066765129566, 0.022589189931750298, 0.004523294046521187, 23.145120924845905, 133328778567.26854, -74.49934458129034, 148.16318907631282, 76.96551468303359, 21909259131.00642, 4409045883.148447, 4.9898800612415216e+70, 0.3648177382188408, -0.8150074886231425, 0.4501897504043018, 3114986612.0117364, 0.20969340016645402
0.23823718955884704, -0.00814285594969988, 0.02310725301504135, 0.004782618023455143, 24.230899101462967, 142006458847.5288, -67.86322740839029, 144.66325427851552, 68.77407932554765, 23827829115.38624, 4483800310.82576, 6.830469461700694e+70, 0.2502115018988475, -0.7981924119657763, 0.5479809100669288, 3126284561.636428, 0.37744603818038686
0.2440935099515246, -0.008411494083702564, 0.02365948259830475, 0.00506026204675436, 25.072942144291055, 148544535291.50027, -60.31711352008666, 141.6283663402257, 60.48604670015507, 25851846946.811165, 4569666614.472547, 4.1865658296738857e+70, 0.4246080778101426, -0.8162750524427923, 0.39166697463264966, 3172102297.2166815, 0.21810485180282482
0.25009396889687413, -0.00865200161933899, 0.024229709059000015, 0.005302069708704948, 25.75909531489887, 156033204364.20157, -60.67579214531052, 141.45186728746802, 71.14732693711119, 28422562285.07615, 4686871223.780756, 5.4861326191611954e+70, 0.37505953137984555, 0.4405608017769418, -0.8156203331567874, 3222442798.201856, 1.174136531374583
0.2564390492280501, -0.008928622119128704, 0.024799160659313202, 0.005543343722820282, 26.44319289366186, 163870907457.86353, -63.801088846547096, 135.72964957258347, 69.20701808138502, 31143913821.49571, 4926780465.891067, 2.739324115951264e+70, 0.7325896484185953, -0.05407005697831815, -0.6785195914402771, 3270340950.605265, 0.503200221501894
0.2633205624397036, -0.00922412145882845, 0.025410545989871025, 0.0058229612186551085, 28.264355172916037, 178962640796.7137, -74.38317172937032, 136.3199060767981, 63.551571051147064, 33455699314.230988, 5072437489.76554, 4.171762521727581e+70, 0.4144808588268788, -0.8164647011308421, 0.4019838423039634, 3357759737.2524943, 0.5660622223655223
0.2701255663272409, -0.009488357231020927, 0.026023266837000847, 0.006082959938794374, 29.96171340416467, 191322125653.37436, -79.6962743148096, 132.7264332439789, 62.51594529028072, 35432182131.43052, 5228980033.620958, 8.47552929799735e+70, 0.7060416237176886, -0.7081671467457009, 0.0021255230280123475, 3447681842.8321385, 0.817636096073465
