a, center_x, center_y, center_z, L_x, L_y, L_z, bulk_velocity_x, bulk_velocity_y, bulk_velocity_z, Rvir, Mvir, Lmag, sfr, Mstar, Mgas, compaction_stage
0.11, -0.0291808, 0.0760473, 11.4747, 0.351484, -0.878925, 0.322414, -1.82381, 23.3478, 0.351484, 6.75, 6442530000.0, 10.813, 0.0686093, 14284600.0, 502860000.0, pre
0.12, -0.137258, -0.275653, 13.8693, -0.475255, -0.779124, -0.408777, 10.3163, 35.3188, -0.475255, 8.0, 8361980000.0, 13.4988, 0.0559305, 21663900.0, 673882000.0, pre
0.13, -0.130162, -0.215298, -13.7063, -0.94634, 0.304054, -0.109509, -5.32137, 13.2731, -0.94634, 9.5, 10737800000.0, 18.0029, 0.258684, 40487400.0, 970577000.0, pre
0.14, 0.114915, -0.0993427, 33.5826, 0.215394, -0.923616, -0.317078, 36.8838, 19.3735, 0.215394, 10.75, 12824300000.0, 17.6544, 0.0750887, 54283900.0, 1022140000.0, pre
0.15, 0.145753, 0.204699, 14.4581, 0.361611, -0.363179, -0.858684, -16.4177, -0.489988, 0.361611, 12.25, 15437400000.0, 23.6025, 0.328115, 80400100.0, 1145060000.0, pre
0.16, 0.20204, -0.0142759, -1.12048, 0.402806, -0.334403, -0.85201, -16.6171, 4.26467, 0.402806, 14.5, 20555900000.0, 60.2461, 0.227067, 104195000.0, 1621680000.0, pre
0.17, 0.26492, -0.153304, 49.4411, 0.260428, -0.374759, -0.889794, 18.068, 1.81665, 0.260428, 16.25, 23988100000.0, 92.0212, 0.0273809, 115180000.0, 2045890000.0, pre
0.18, 0.332742, 0.0878568, -16.3103, 0.915079, -0.375488, 0.1471, -2.58934, 6.43521, 0.915079, 18.25, 28447000000.0, 35.1903, 0.706686, 175495000.0, 2478180000.0, pre
0.19, 0.597036, 0.0544895, 39.4724, 0.656171, 0.281255, -0.70024, 18.1172, 32.724, 0.656171, 22.5, 46927400000.0, 73.7546, 0.278946, 212389000.0, 3976320000.0, pre
0.2, 0.276413, 0.114362, 31.3932, -0.546145, 0.810634, 0.211183, 44.1251, -26.952, -0.546145, 26.25, 62480000000.0, 55.9969, 2.59775, 532886000.0, 5295480000.0, pre
0.21, 0.508538, 0.0439134, -27.2602, 0.730958, -0.666136, 0.148199, -56.8959, -12.5872, 0.730958, 29.5, 76525800000.0, 112.27, 0.945217, 647061000.0, 6305400000.0, pre
0.22, -0.815096, -0.610042, -3.32495, -0.812291, 0.58295, -0.0187722, -0.0162457, 45.4118, -0.812291, 32.5, 88621200000.0, 77.4143, 2.30258, 826931000.0, 7367380000.0, pre
0.23, 0.250598, 0.0567699, -1.77673, 0.0260207, 0.30638, 0.951554, 2.37794, -3.15043, 0.0260207, 34.75, 95741500000.0, 109.137, 4.13863, 1238880000.0, 7750610000.0, pre
0.24, -0.758746, 0.0485632, 1.25267, 0.222736, 0.101503, 0.96958, 3.10957, -3.05224, 0.222736, 36.5, 98341600000.0, 112.839, 3.94023, 1666950000.0, 7619450000.0, pre
