Metadata recorded on file /project/projectdirs/agora/paper_CGM/ThinTimeSteps/CHANGA/Cal4_noSB_new/6.0e51/output/ncal-IV.000494 with agora_analysis version 1.0 on date 2023-02-02 15:27:23.356799
a, center_x, center_y, center_z, Rvir, L_x, L_y, L_z, bulk_velocity_x, bulk_velocity_y, bulk_velocity_z, unitary_conversion
0.1111111111111111, -0.002200955175794661, 0.01131889456883073, 0.00018935083789983767, 11.014306139565209, -0.5366977506951948, 0.23023123778832788, -0.8117567995065843, -63.54288163517546, 95.81348598151486, 42.60038750906475, 0.00010521054538267904
0.11363636363636363, -0.0023460810771211986, 0.01157724391669035, 0.00030276653706096113, 12.749725736481222, -0.9454897550406364, -0.26223323670604737, 0.19308768132604304, -63.839649151402966, 96.47800260523903, 42.7250267788356, 0.00010294263779982353
0.11627906976744186, -0.002479928312823176, 0.011853396426886318, 0.00039341501542367036, 13.375169083197274, -0.9565715696661018, 0.05671827082700597, 0.2859263364241297, -63.554875916266724, 97.25499001399153, 42.14021716862204, 0.00010079285886060223
0.11904761904761904, -0.0026384006487205625, 0.01214042864739895, 0.0004958344507031143, 12.299711008732691, -0.8060982862239732, 0.26094682172680705, -0.5311424565758714, -63.22159233651892, 99.1469910322541, 41.69430684203673, 9.842139318433775e-05
0.12195121951219513, -0.002844122122041881, 0.012439619284123182, 0.0006384601292666048, 12.873862537488126, 0.3509811292554293, 0.8861781786201994, -0.3024904670299044, -61.86044843789321, 102.16815963517229, 41.15689581589905, 9.587500950767947e-05
0.125, -0.0030429165344685325, 0.012723730877041817, 0.0007574212213512511, 14.988526827352526, -0.1434761535444876, 0.867582670552865, -0.4761458842838375, -61.33820644414884, 103.49180532081411, 41.302818374073624, 9.348674878097766e-05
0.1282051282051282, -0.0032515216153115034, 0.013006204273551704, 0.0008875388011801988, 15.736502161340766, 0.3547666988588759, 0.9236005306933335, -0.14526750869953184, -60.336061090734724, 103.04722204120479, 40.285182063336045, 9.124144377272866e-05
0.13157894736842105, -0.003445572918280959, 0.013336407020688059, 0.0010417095618322492, 14.570680146473824, -0.6391926144079672, 0.7521208266089581, 0.16045891644706306, -60.173047167161435, 104.25835996309691, 39.89545263140244, 8.886993662033102e-05
0.13513513513513511, -0.003629422048106789, 0.013683341909199953, 0.0011758605251088736, 15.311108386058104, -0.3702931230556612, 0.5645659225897651, -0.7376640983998424, -58.33663595272398, 104.29526702949137, 39.548239552240894, 8.6526744611916e-05
0.1388888888888889, -0.0038098128279671077, 0.0140234618447721, 0.001333356718532741, 17.793882920928496, 0.3047715046619351, 0.8007845611626727, -0.5156146007917208, -58.17272424011202, 105.15479361722173, 39.564356245264655, 8.433158791497253e-05
0.14285714285714285, -0.0039956094697117805, 0.014403861016035078, 0.0014958190149627628, 18.74675692870779, -0.9242454200030904, 0.29618071873374047, -0.24093025018389896, -58.72081167022884, 105.24568031306819, 39.894673517371466, 8.195587353112327e-05
0.14705882352941177, -0.004193023080006242, 0.014803343918174505, 0.0016188799636438491, 19.518811625732845, -0.1601022847664771, 0.42688848625625203, -0.8900188080677844, -59.49525353797985, 105.32340223157244, 40.54901532869281, 7.954589653174947e-05
0.15151515151515152, -0.004402824444696307, 0.015230891760438682, 0.0017619048012420537, 20.716670463724874, 0.25248671076812756, 0.44376259156549397, -0.8598402312130834, -61.71014505681295, 104.31000463258327, 38.85110472842565, 7.730481202967231e-05
0.15625, -0.004628799157217146, 0.015690105035901073, 0.001923160045407713, 21.716128118917965, 0.03239808299961976, 0.3387588686283386, -0.9403152626346112, -62.68190908359044, 104.95579549178616, 38.482097442216634, 7.487951989873634e-05
0.16129032258064516, -0.00488880928605795, 0.016153987497091293, 0.0021224699448794127, 22.902177394569126, 0.7325062686448669, 0.4924038113219181, -0.4700777095243116, -62.355991634703926, 105.31424984903795, 37.60031524791046, 7.248090687773283e-05
0.16666666666666666, -0.005139582557603717, 0.016581560485064987, 0.002324808039702475, 24.639439885807878, 0.8813588255926663, 0.2359670017391681, -0.40929963918887485, -60.50363470332272, 101.5107627998142, 34.00935485862028, 7.026445341682197e-05
0.1724137931034483, -0.005456165177747606, 0.017079917713999748, 0.00248841755092144, 26.807064500876116, 0.8911712036663105, 0.2138250213593898, -0.40011591570018307, -58.272362493324856, 106.09758422128606, 35.10558788054766, 6.781549640294444e-05
0.17857142857142858, -0.0057463948614895335, 0.017542101442813873, 0.0025875339051708575, 30.10206607388392, 0.9265251395152858, -0.25218434658904243, -0.27920283161464865, -57.346341579477595, 124.04971454654104, 50.60378092963215, 6.556782381098523e-05
0.18518518518518517, -0.005966628901660443, 0.018007138743996624, 0.0025875935098156337, 32.661776398048424, 0.90094364758626, -0.35433894108805647, -0.2504884402573498, -57.756566224926736, 130.78249598556332, 57.58321886675728, 6.316639876914455e-05
0.1923076923076923, -0.006072594318538903, 0.01876311562955379, 0.002679684665054083, 35.81266143020735, 0.8660612074800299, -0.489355587562066, -0.10231858980663153, -58.89823831651524, 133.09699409674346, 62.30938789254981, 6.0871657813151004e-05
0.2, -0.006445618346333504, 0.01952572539448738, 0.003098232671618461, 38.287179746268805, 0.8119952021414645, -0.5789117672397216, 0.07433005751796921, -59.57832341078632, 134.59740708093815, 64.47442973072576, 5.850000032179344e-05
0.2040816326530612, -0.0066530166659504175, 0.019869240000844002, 0.003292091307230294, 39.240331600409135, 0.8100667190319879, -0.5047500538235505, 0.2983610126706793, -59.95122285410889, 135.44682962079662, 65.29784881865751, 5.7354051080082425e-05
