a, center_x, center_y, center_z, L_x, L_y, L_z, bulk_velocity_x, bulk_velocity_y, bulk_velocity_z, Rvir, Mvir, Lmag, sfr, Mstar, Mgas, compaction_stage
0.11, -0.121271, 0.237245, -26.6277, 0.728945, -0.509691, -0.457006, -31.0829, 14.1727, 0.728945, 6.0, 4518890000.0, 20.3199, 0.110467, 13685100.0, 277953000.0, pre
0.12, -0.232461, 0.20391, -2.7215, 0.950101, -0.16385, -0.265445, -23.612, -22.9453, 0.950101, 7.25, 5911240000.0, 36.8236, 0.0407235, 18436100.0, 336143000.0, pre
0.13, -0.145252, 0.58383, 7.92794, 0.962613, 0.172179, -0.209119, -50.5149, -16.143, 0.962613, 8.25, 7096540000.0, 51.7452, 0.0392963, 22887700.0, 436666000.0, pre
0.14, 0.0197062, 0.127175, -5.85378, 0.854779, 0.0371876, -0.517658, -44.6007, -12.4882, 0.854779, 9.5, 8660970000.0, 29.8893, 0.0665656, 31261300.0, 552215000.0, pre
0.15, -0.260254, 0.139244, -11.4225, 0.875115, -0.032875, -0.482796, -26.1397, -9.50745, 0.875115, 12.25, 14906100000.0, 47.0296, 0.135479, 48279500.0, 1012280000.0, pre
0.16, 0.144819, -0.209877, -2.66781, -0.273606, -0.943084, 0.18903, -10.1167, -31.0354, -0.273606, 14.5, 20348800000.0, 51.9531, 0.362595, 87297700.0, 1625130000.0, pre
0.17, -0.0907837, 0.0504295, -20.0536, 0.40356, -0.847796, 0.344066, -17.5902, -19.109, 0.40356, 16.5, 25127300000.0, 38.9494, 0.397281, 122407000.0, 2121380000.0, pre
0.18, 0.125915, 0.202865, -0.478369, 0.067044, -0.9967, -0.0457521, 2.00601, 35.3591, 0.067044, 18.25, 28107700000.0, 34.21, 0.827851, 233663000.0, 2408290000.0, pre
0.19, -0.0512034, -0.552261, -33.3481, -0.0504171, -0.903588, 0.425425, -6.35152, -27.9037, -0.0504171, 19.75, 30924900000.0, 45.8468, 0.519601, 268778000.0, 2698890000.0, pre
0.2, 0.195184, 0.0831821, -21.5713, -0.133639, -0.0691231, 0.988617, -0.975762, -23.626, -0.133639, 21.25, 33506700000.0, 93.5402, 0.362331, 307188000.0, 3033890000.0, pre
0.21, 0.186383, -0.0867661, -1.20612, 0.587248, -0.794469, -0.154785, -0.107345, 3.67019, 0.587248, 24.25, 42705700000.0, 35.8182, 2.16429, 502420000.0, 3755670000.0, pre
0.22, 0.0957962, 0.0157227, -7.64728, 0.175516, -0.980279, -0.0908144, -3.10576, 9.53064, 0.175516, 26.75, 49882000000.0, 14.6558, 1.6762, 701182000.0, 3848700000.0, pre
0.23, 0.280837, -0.490076, -4.73226, -0.40227, -0.911989, -0.0803395, 2.29326, -1.50605, -0.40227, 30.25, 63100200000.0, 27.0585, 1.60063, 835190000.0, 4469970000.0, pre
0.24, 0.317675, 0.1876, -0.136227, -0.590221, -0.805155, -0.057999, 10.6911, 19.0134, -0.590221, 32.75, 71728300000.0, 85.1505, 1.3316, 985774000.0, 4876340000.0, pre
0.25, 0.117059, 0.0850405, -8.57843, -0.399748, -0.556922, -0.728039, 2.68282, -13.2575, -0.399748, 35.25, 77985100000.0, 78.4961, 1.18903, 1115330000.0, 5500050000.0, pre
0.26, -0.158642, -0.233273, -8.58236, -0.309286, -0.87937, -0.362009, 16.6199, 2.49618, -0.309286, 37.25, 82314300000.0, 104.738, 1.91278, 1313000000.0, 5928090000.0, pre
0.27, 0.21658, -0.175533, -0.706036, -0.501897, -0.566468, -0.653616, 20.6812, -10.8869, -0.501897, 39.0, 85270400000.0, 66.94, 2.35969, 1528780000.0, 6203720000.0, pre
0.28, 0.155643, -0.113374, -6.52978, -0.829775, 0.283437, 0.480767, 3.66342, 23.6881, -0.829775, 40.5, 85177700000.0, 53.3556, 3.90894, 1918710000.0, 6169930000.0, pre
0.29, -0.0975814, -0.0269262, 4.69492, -0.615085, 0.474701, 0.629547, 7.85064, -25.4024, -0.615085, 42.25, 88284100000.0, 71.6842, 2.87562, 2152370000.0, 6219870000.0, pre
0.3, 0.791268, -0.163578, -19.5791, -0.586457, -0.143087, 0.797242, 1.81996, -7.90762, -0.586457, 46.5, 107035000000.0, 193.549, 1.70153, 2481010000.0, 8482360000.0, pre
0.31, -0.385521, 0.23527, 5.25579, -0.793974, -0.0852689, 0.601942, 17.8666, -2.78678, -0.793974, 55.25, 164214000000.0, 264.507, 1.21885, 2613200000.0, 15227800000.0, during
0.32, -0.362619, 0.130842, 13.504, -0.863189, -0.0193713, 0.50451, 5.82285, 21.4391, -0.863189, 61.5, 205753000000.0, 181.762, 2.55253, 2891280000.0, 18289100000.0, during
0.33, 0.0702812, -0.0854558, 1.16938, -0.82118, -0.165494, 0.546147, 1.83817, 16.0079, -0.82118, 70.5, 282545000000.0, 70.1978, 5.64354, 3460210000.0, 26966900000.0, during
0.34, 0.919572, 0.100742, -14.9236, -0.452643, 0.388514, -0.802603, -42.0211, -7.79525, -0.452643, 75.75, 322239000000.0, 123.079, 2.49638, 3897500000.0, 30599500000.0, during
0.35, 0.095632, 0.00864374, -27.1878, -0.531469, -0.190603, -0.825355, 22.7215, -18.5837, -0.531469, 79.25, 344120000000.0, 222.524, 3.04992, 4232360000.0, 33166400000.0, during
0.36, -0.819811, 0.970143, -35.03, 0.969009, -0.241468, -0.0521028, -60.6929, -39.7349, 0.969009, 82.75, 360810000000.0, 369.814, 5.33446, 5885650000.0, 34290200000.0, during
